beta,gamma,R0,I_max,t_peak
0.5,0.1,5.0,0.4801200319304095,15.359599749843651
0.3,0.1,2.9999999999999996,0.3038123264649803,26.6166353971232
0.2,0.5,0.4,0.01,0.0
0.15,0.2,0.7499999999999999,0.01,0.0
